"age","bmi"
0.03,13.2352889411417
0.04,12.4387748775498
0.04,14.5417747339652
0.04,11.7739540571229
0.04,15.325614037673
0.05,13.2143907460053
0.05,16.8344671201814
0.05,14.5454545454545
0.05,14.2938311398258
0.05,12.92
0.05,12.4015907799692
0.05,14.2399430402278
0.05,13.6465086619194
0.05,12.1556710126458
0.06,11.6941015089163
0.06,13.7525360493457
0.06,12.56
0.06,14.3422270852622
0.06,14.4768958841848
0.06,13.6667566394812
0.06,14.3758942849928
0.06,12.3977661132812
0.06,14.3736534318252
0.06,13.2282996432818
0.06,13.1365184732291
0.06,15.2136105860113
0.06,14.8284309538371
0.07,13.812744749021
0.07,13.6145404663923
0.07,12.7262014981904
0.07,13.6859504132231
0.07,11.747953008188
0.07,13.7059451762193
0.07,15.1286421556692
0.07,13.8231292517007
0.07,13.8483446066216
0.07,12.7799315549027
0.07,13.9668367346939
0.07,14.2755428978284
0.07,14.1402238868782
0.07,14.1687433250267
0.07,15.3700051135949
0.07,15.0145463172221
0.07,15.3454614006975
0.07,14.5778974833768
0.07,12.7551020408163
0.08,15.0966183574879
0.08,14.7189349112426
0.08,17.2985608883045
0.08,14.5089285714286
0.08,14.3942702419425
0.08,14.4095614847235
0.08,11.4041233732353
0.08,12.24
0.08,14.2195824962879
0.08,14.6446280991736
0.08,17.7640603566529
0.08,16.8018116736065
0.08,11.1775103105799
0.08,14.0658664204371
0.08,13.9714625445898
0.08,12.7803488786045
0.08,14.6671413314347
0.08,13.5537190082645
0.08,14.6683673469388
0.08,16.6512773160973
0.08,13.1719473122108
0.08,15.1299394802421
0.08,14.1099577085736
0.08,14.405762304922
0.08,12.1556710126458
0.08,14.2520899277656
0.08,16.803840877915
0.08,15.9274376417234
0.08,14.2538265306122
0.08,13.4112901238696
0.08,23.3346793357657
0.08,14.6671413314347
0.08,13.4568604109518
0.08,14.9478458049887
0.08,13.265306122449
0.08,15.1234567901235
0.08,14.5188663512192
0.08,15.3057851239669
0.08,14.2809917355372
0.08,14.560341758633
0.08,15.3292181069959
0.08,15.4320987654321
0.09,13.9551441794233
0.09,12.613771270281
0.09,15.877536489854
0.09,14.8039931823716
0.09,17.076218242399
0.09,14.4905020831862
0.09,14.739063387712
0.09,12.0816326530612
0.09,14.67377063499
0.09,15.5909045824241
0.09,14.0653144333934
0.09,17.3272687892571
0.09,16.4147544835148
0.09,14.3823424706301
0.09,14.5959416162335
0.09,14.4730623818526
0.09,14.9519890260631
0.09,13.1184951442229
0.09,16.0715983572618
0.09,14.0603566529492
0.09,15.8267097563106
0.09,14.8039931823716
0.09,14.3428747306864
0.09,15.5702479338843
0.09,13.8195989552383
0.09,11.1735537190083
0.09,15.5469678953627
0.09,14.747889189587
0.09,13.7517146776406
0.09,15.1569422188708
0.09,17.2512755102041
0.09,14.2196250304358
0.09,14.9532710280374
0.09,14.2158787249402
0.09,15.165714719925
0.09,15.0947953145755
0.09,16.3396467913019
0.09,15.2955544114654
0.09,17.730440516265
0.09,13.8073979591837
0.09,14.917695473251
0.09,15.3061224489796
0.09,14.4877126654064
0.09,14.4990828893353
0.09,14.0759593417662
0.09,15.5063043308012
0.09,12.5550251100502
0.1,14.5900316889313
0.1,16.294372510582
0.1,15.3719008264463
0.1,15.4669212457846
0.1,16.099173553719
0.1,16.0362811791383
0.1,12.4081632653061
0.1,17.0438957475995
0.1,16.0758655995205
0.1,13.0578512396694
0.1,14.5008295234356
0.1,13.7698846898409
0.1,15.2104591836735
0.1,13.2231404958678
0.1,16.6942148760331
0.1,14.173259132792
0.1,14.7119341563786
0.1,15.0482535315337
0.1,13.5279458882164
0.1,14.8374691516904
0.1,13.5332564398308
0.1,13.7362174901103
0.1,16.2729874272847
0.1,16.2510759111522
0.1,15.0018903591682
0.1,15.1369203247557
0.1,14.7715282850418
0.1,14.2572909019332
0.1,15.9438775510204
0.1,13.789141051422
0.1,15.1095732410611
0.1,15.5324875048058
0.1,15.0061268734094
0.1,14.5061728395062
0.11,15.1785714285714
0.11,13.7683678632526
0.11,16.9586776859504
0.11,12.0661157024793
0.11,15.0492382796061
0.11,13.264876693881
0.11,16.4090368608799
0.11,13.0334486735871
0.11,14.2075582863395
0.11,13.7618147448015
0.11,13.8465958058029
0.11,14.9901380670611
0.11,15.625
0.11,13.4563629373318
0.11,13.7945107642077
0.11,13.9427516158818
0.11,16.3947731515299
0.11,14.8174415217639
0.11,15.4577883472057
0.12,16.1895967990151
0.12,13.7920958433779
0.12,15.2585017449882
0.12,14.7643836616335
0.12,16.0051943835728
0.12,16.0644764701865
0.12,15.9077996915835
0.12,14.1975308641975
0.12,19.7685950413223
0.12,14.0998959417274
0.12,16.3923590455417
0.12,16.9576444290284
0.13,16.126735493058
0.13,12.4599501601994
0.13,16.9444444444444
0.13,13.4876033057851
0.13,14.9073199715647
0.13,15.2036644066042
0.13,15.7844387755102
0.13,14.8632580261593
0.13,16.8278598504977
0.13,15.8442330558859
0.13,12.531887755102
0.13,16.3746049985636
0.13,13.6844541877153
0.13,14.0532544378698
0.13,13.9479626128964
0.13,13.3761453520244
